"Punchout","Punchout"
"Punchout Connections","Punchout Connections"
"Edit Connection","Edit Connection"
"View Connection","View Connection"
"Delete Connection","Delete Connection"
"Punchout connection saved successfully.","Punchout connection saved successfully."
"Punchout connection created successfully.","Punchout connection created successfully."
"Punchout connection deleted.","Punchout connection deleted."
"Punchout connection with ID %id not found.","Punchout connection with ID %id not found."
"Punchout connection ID `%id` is invalid.","Punchout connection ID `%id` is invalid."
"Are you sure you want to delete this connection?","Are you sure you want to delete this connection?"
"No, keep this connection","No, keep this connection"
"Yes, delete this connection","Yes, delete this connection"
"Activate","Activate"
"Deactivate","Deactivate"
"Credentials `%username` were activated.","Credentials `%username` were activated."
"Credentials `%username` were deactivated.","Credentials `%username` were deactivated."
"Add Credential","Add Credential"
"Credential was added.","Credential was added."
"Credential was removed.","Credential was removed."
"Save Credential","Save Credential"
"Back to Connection","Back to Connection"
"Back to Connections","Back to Connections"
"Connection Details","Connection Details"
"Credentials","Credentials"
"View Punchout Connection","View Punchout Connection"
"Edit Punchout Connection","Edit Punchout Connection"
"Create Punchout Connection","Create Punchout Connection"
"Delete Punchout Connection","Delete Punchout Connection"
"Create Connection","Create Connection"
"ID","ID"
"Customer Default Store","Customer Default Store"
"Name","Name"
"Connection Name","Connection Name"
"Store","Store"
"Protocol Type","Protocol Type"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Allow iFrame","Allow iFrame"
"Request URL","Request URL"
"Processor Plugin Class","Processor Plugin Class"
"Created At","Created At"
"Updated At","Updated At"
"Actions","Actions"
"Save","Save"
"Edit","Edit"
"View","View"
"Delete","Delete"
"Yes","Yes"
"No","No"
"cXML Configuration","cXML Configuration"
"OCI Configuration","OCI Configuration"
"Sender Identity","Sender Identity"
"Sender Shared Secret","Sender Shared Secret"
"Leave blank to keep the current secret.","Leave blank to keep the current secret."
"Leave blank to keep current secret","Leave blank to keep current secret"
"Form Method","Form Method"
"Username Field Name","Username Field Name"
"Password Field Name","Password Field Name"
"Username","Username"
"Password","Password"
"Repeat Password","Repeat Password"
"Customer ID","Customer ID"
"Passwords do not match.","Passwords do not match."
"This is a suffix to the request url.","This is a suffix to the request url."
"Only `_`, `-`, letters and numbers are allowed.","Only `_`, `-`, letters and numbers are allowed."
"Connection `%name` activated.","Connection `%name` activated."
"Connection `%name` deactivated.","Connection `%name` deactivated."
"HTTP method for the form, defaults to %method","HTTP method for the form, defaults to %method"
"A cXML connection with this Sender Identity already exists.","A cXML connection with this Sender Identity already exists."
"An OCI connection with this Request URL already exists.","An OCI connection with this Request URL already exists."
"Form field name to pass username, defaults to %field","Form field name to pass username, defaults to %field"
"Form field name to pass password, defaults to %field","Form field name to pass password, defaults to %field"
"Punchout connection was not deleted.","Punchout connection was not deleted."
"Form field Password","Form field Password"
"Form field Username","Form field Username"
"Shared Secret is mandatory for a cXML connection.","Shared Secret is mandatory for a cXML connection."
"Choice cXML","cXML"
"Choice OCI","OCI"
"Customer Name","Customer"
"Are you sure you want to proceed?","Are you sure you want to proceed?"
"Setup Request URL","Setup Request URL"
"A credential with this username already exists for this connection.","A credential with this username already exists for this connection."
"Punchout Gateway","Punchout Gateway"
"Punchout Gateway integration settings.","Punchout Gateway integration settings."
"General","General"
"Logging","Logging"
"Controls request/response logging for the Punchout Gateway module.","Controls request/response logging for the Punchout Gateway module."
"Enable Logging","Enable Logging"
"When enabled, the Punchout Gateway logs incoming and outgoing punchout requests and responses.","When enabled, the Punchout Gateway logs incoming and outgoing punchout requests and responses."
"cXML","cXML"
"Session","Session"
"cXML session security and validity settings.","cXML session security and validity settings."
"Session Start URL Validity (seconds)","Session Start URL Validity (seconds)"
"How long (in seconds) a cXML session start URL remains valid after generation.","How long (in seconds) a cXML session start URL remains valid after generation."
"Session start should not be allowed for longer than 1 hour.","Session start should not be allowed for longer than 1 hour."
"Session start should be allowed for longer than 0 seconds.","Session start should be allowed for longer than 0 seconds."
"Session Token Length","Session Token Length"
"Length (in characters) of the randomly generated cXML session token.","Length (in characters) of the randomly generated cXML session token."
"Token cannot be longer than 128 symbols.","Token cannot be longer than 128 symbols."
"Token cannot be shorter than 16 symbols.","Token cannot be shorter than 16 symbols."
"Custom Field Mapping","Custom Field Mapping"
"cXML field","cXML field"
"Source expression","Source expression"
"Add Mapping Row","Add Mapping Row"
"Remove","Remove"
"Add Field Mapping","Add Field Mapping"
"Extrinsic Field","Extrinsic Field"
"Add Extrinsic Field Mapping","Add Extrinsic Field Mapping"
"Extrinsic Fields Mapping","Extrinsic Fields Mapping"
"Map custom Extrinsic fields. Name must not be a reserved user-identity name.","Map custom Extrinsic fields. Name must not be a reserved user-identity name."
"Extrinsic name","Extrinsic name"
"Extrinsic name ""%name%"" is reserved for user identity.","Extrinsic name ""%name%"" is reserved for user identity."
"Select field","Select field"
"Edit Credential","Edit Credential"
"Leave blank to keep current password.","Leave blank to keep current password."
"Map OCI output fields to source expressions. Leave blank to use defaults.","Map OCI output fields to source expressions. Leave blank to use defaults."
"Reserved names: %reserved%.","Reserved names: %reserved%."
"Field","Field"
"Source","Source"
"Punchout connection was not saved, check the logs.","Punchout connection was not saved, check the logs."
"Use ""value"" for a constant (e.g. ""EA""). Join segments with & (e.g. item.sku&""_suffix""). & inside quoted strings is not supported.","Use ""value"" for a constant (e.g. ""EA""). Join segments with & (e.g. item.sku&""_suffix""). & inside quoted strings is not supported."
"e.g. item.sku","e.g. item.sku"
"Available data sources: %datasources%.","Available data sources: %datasources%."
"e.g. item.sku or """" to force an empty value","e.g. item.sku or """" to force an empty value"
